rho,lambda_factor,log_Lambda,chi_norm,zeta_norm,T_bound,inverse_one_plus_T_bound,phi_Wstar_Phi,phi_h_background_Phi,phi_B_etaAX_u_Phi,phi_B_detaAX_u_Phi,phi_h_u_Phi,phi_zeta_u_Phi,phi_Wstar_DXPhi,phi_B_etaAX_u_DXPhi,phi_B_detaAX_u_DXPhi,phi_Hstar_detaPhi,phi_u_detaPhi,u_linear,u_quadratic,u_Wstar_DXu,u_B_etaAX_u_DXu,u_B_detaAX_u_DXu,u_Hstar_detau,u_u_detau,u_pressure_p,u_pressure_peta,u_pressure_DXp,M_phi_map,M_u_map,contraction_bound,inverse_certified,contraction_certified
1.0000000000000001e-05,1,145.28835364469398,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500202e-59,9.2368729621141774e-94,1.5025477255494142e-60,1.8256050691173181e-55,5.423750695523664e-95,376520.428067156,4.1730647093217969e-60,2.8172769854051524e-61,1.8266235599225376e-56,1.6364226757905845e-54,1.8256050691173181e-55,9.1956773060346481e-61,5.0443269437865511e-62,5.1895835125545043e-62,7.0935847646998391e-63,4.5992315000027969e-58,2.7468847925929856e-56,6.1288894071531063e-57,1.9113837229912929e-62,1.6851383027188533e-56,3.4404907013843275e-61,376520.428067156,5.0910435673599079e-56,376520.428067156,1,0
1.0000000000000001e-05,10,147.59093873768802,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500201e-60,9.2368729621141779e-95,1.5025477255494142e-62,1.8256050691173181e-57,5.4237506955236643e-97,37652.042806715603,4.1730647093217969e-61,2.8172769854051524e-63,1.8266235599225376e-58,1.6364226757905844e-55,1.8256050691173181e-57,9.1956773060346484e-62,5.0443269437865503e-64,5.1895835125545054e-63,7.0935847646998379e-65,4.599231500002797e-60,2.7468847925929852e-57,6.1288894071531057e-59,1.9113837229912928e-63,1.6851383027188533e-57,3.4404907013843272e-62,37652.042806715603,4.4980452588992247e-57,37652.042806715603,1,0
1.0000000000000001e-05,100,149.89352383068208,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500199e-61,9.2368729621141759e-96,1.5025477255494141e-64,1.8256050691173182e-59,5.4237506955236647e-99,3765.2042806715604,4.1730647093217971e-62,2.8172769854051519e-65,1.8266235599225378e-60,1.6364226757905846e-56,1.8256050691173182e-59,9.1956773060346493e-63,5.0443269437865516e-66,5.1895835125545052e-64,7.0935847646998395e-67,4.5992315000027971e-62,2.7468847925929859e-58,6.1288894071531067e-61,1.9113837229912929e-64,1.6851383027188536e-58,3.4404907013843269e-63,3765.2042806715604,4.4387454280531571e-58,3765.2042806715604,1,0
1.0000000000000001e-05,1000,152.19610892367612,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500199e-62,9.2368729621141771e-97,1.5025477255494142e-66,1.8256050691173183e-61,5.423750695523664e-101,376.52042806715593,4.1730647093217976e-63,2.8172769854051525e-67,1.8266235599225379e-62,1.6364226757905846e-57,1.8256050691173183e-61,9.1956773060346466e-64,5.0443269437865507e-68,5.1895835125545045e-65,7.0935847646998384e-69,4.5992315000027967e-64,2.7468847925929852e-59,6.1288894071531047e-63,1.9113837229912927e-65,1.6851383027188535e-59,3.4404907013843267e-64,376.52042806715593,4.4328154449685492e-59,376.52042806715593,1,0
1.0000000000000001e-05,10000,154.49869401667016,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500199e-63,9.2368729621141764e-98,1.5025477255494142e-68,1.825605069117318e-63,5.4237506955236638e-103,37.652042806715599,4.1730647093217974e-64,2.8172769854051519e-69,1.8266235599225375e-64,1.6364226757905844e-58,1.825605069117318e-63,9.1956773060346479e-65,5.0443269437865502e-70,5.1895835125545039e-66,7.0935847646998366e-71,4.5992315000027958e-66,2.7468847925929852e-60,6.1288894071531047e-65,1.9113837229912927e-66,1.6851383027188531e-60,3.4404907013843271e-65,37.652042806715599,4.4322224466600877e-60,37.652042806715599,1,0
1.0000000000000001e-05,100000,156.80127910966422,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500198e-64,9.236872962114176e-99,1.5025477255494143e-70,1.8256050691173181e-65,5.4237506955236636e-105,3.7652042806715604,4.1730647093217977e-65,2.8172769854051523e-71,1.8266235599225374e-66,1.6364226757905843e-59,1.8256050691173181e-65,9.1956773060346471e-66,5.0443269437865511e-72,5.1895835125545049e-67,7.0935847646998389e-73,4.5992315000027971e-68,2.7468847925929851e-61,6.1288894071531064e-67,1.9113837229912927e-67,1.6851383027188532e-61,3.4404907013843265e-66,3.7652042806715604,4.4321631468292421e-61,3.7652042806715604,1,0
1.0000000000000001e-05,1000000,159.10386420265826,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500201e-65,9.2368729621141773e-100,1.5025477255494139e-72,1.8256050691173177e-67,5.4237506955236647e-107,0.37652042806715591,4.1730647093217973e-66,2.8172769854051518e-73,1.8266235599225373e-68,1.6364226757905845e-60,1.8256050691173177e-67,9.1956773060346458e-67,5.0443269437865498e-74,5.1895835125545041e-68,7.0935847646998369e-75,4.599231500002796e-70,2.7468847925929849e-62,6.128889407153104e-69,1.9113837229912925e-68,1.6851383027188532e-62,3.4404907013843267e-67,0.37652042806715591,4.4321572168461561e-62,0.37652042806715591,1,1
1.0000000000000001e-05,10000000,161.40644929565229,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500205e-66,9.2368729621141788e-101,1.5025477255494142e-74,1.8256050691173181e-69,5.4237506955236653e-109,0.037652042806715608,4.1730647093217977e-67,2.8172769854051527e-75,1.8266235599225379e-70,1.6364226757905846e-61,1.8256050691173181e-69,9.1956773060346481e-68,5.044326943786551e-76,5.1895835125545049e-69,7.0935847646998388e-77,4.5992315000027977e-72,2.7468847925929854e-63,6.1288894071531059e-71,1.9113837229912928e-69,1.6851383027188534e-63,3.4404907013843269e-68,0.037652042806715608,4.4321566238478494e-63,0.037652042806715608,1,1
1.0000000000000001e-05,100000000,163.70903438864636,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.19849262735002e-67,9.2368729621141772e-102,1.5025477255494139e-76,1.825605069117318e-71,5.4237506955236645e-111,0.0037652042806715596,4.1730647093217977e-68,2.8172769854051521e-77,1.8266235599225376e-72,1.6364226757905844e-62,1.825605069117318e-71,9.1956773060346479e-69,5.0443269437865503e-78,5.1895835125545046e-70,7.0935847646998379e-79,4.5992315000027967e-74,2.7468847925929854e-64,6.1288894071531048e-73,1.9113837229912927e-70,1.6851383027188533e-64,3.4404907013843269e-69,0.0037652042806715596,4.4321565645480185e-64,0.0037652042806715596,1,1
1.0000000000000001e-05,1000000000,166.01161948164039,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500204e-68,9.2368729621141784e-103,1.5025477255494147e-78,1.8256050691173184e-73,5.4237506955236655e-113,0.00037652042806715603,4.1730647093217973e-69,2.8172769854051527e-79,1.8266235599225383e-74,1.6364226757905846e-63,1.8256050691173184e-73,9.1956773060346474e-70,5.0443269437865522e-80,5.1895835125545053e-71,7.0935847646998392e-81,4.599231500002798e-76,2.7468847925929854e-65,6.1288894071531065e-75,1.9113837229912927e-71,1.6851383027188535e-65,3.4404907013843272e-70,0.00037652042806715603,4.4321565586180359e-65,0.00037652042806715603,1,1
