time,i,j,x,y,u,v,omega_z,exact_u,exact_v,velocity_error
0,0,0,0,0,-1.6401269453101291e-16,1.5964899284110082e-16,-1.8089067473979913e-17,0,-0,2.288841735081332e-16
0,0,1,0,0.19634954084936207,-1.4767878128040136e-16,-0.19509032201612816,-3.2689366372640429e-16,0,-0.19509032201612825,1.6953574915120018e-16
0,0,2,0,0.39269908169872414,-1.1827964389419136e-16,-0.38268343236508967,-2.57729994642296e-16,0,-0.38268343236508978,1.6222214954751102e-16
0,0,3,0,0.58904862254808621,-1.0740436780522193e-16,-0.55557023301960207,2.8120159445156417e-17,0,-0.55557023301960218,1.544721653493525e-16
0,0,4,0,0.78539816339744828,-1.2765736072857376e-16,-0.70710678118654746,-3.3240038078799549e-16,0,-0.70710678118654746,1.2765736072857376e-16
0,0,5,0,0.98174770424681035,-1.0391933526105088e-16,-0.83146961230254512,-7.7049418586641753e-16,0,-0.83146961230254524,1.520696547151239e-16
0,0,6,0,1.1780972450961724,-4.3285664318587867e-17,-0.92387953251128685,-6.8602124202697112e-16,0,-0.92387953251128674,1.1916207609629742e-16
0,0,7,0,1.3744467859455345,-8.8164857629356699e-18,-0.98078528040323054,-3.654617270534615e-16,0,-0.98078528040323043,1.1137181899065111e-16
0,0,8,0,1.5707963267948966,4.0576942161243896e-18,-1,-3.0060624976426613e-16,0,-1,4.0576942161243896e-18
0,0,9,0,1.7671458676442586,2.9794811858776461e-17,-0.98078528040323054,-3.5451490956436549e-16,-0,-0.98078528040323043,1.1495078276279026e-16
0,0,10,0,1.9634954084936207,6.1555841028357023e-17,-0.92387953251128696,-2.7334468566038422e-16,-0,-0.92387953251128674,2.3041902729814132e-16
0,0,11,0,2.1598449493429825,8.5824992125581145e-17,-0.83146961230254546,-7.9399515347238039e-17,-0,-0.83146961230254546,8.5824992125581145e-17
0,0,12,0,2.3561944901923448,1.0355797037629587e-16,-0.70710678118654768,5.2958713310907262e-17,-0,-0.70710678118654757,1.5182293921715547e-16
0,0,13,0,2.5525440310417071,1.0973777691411529e-16,-0.55557023301960229,-1.3208287146976875e-16,-0,-0.55557023301960218,1.5610359165032189e-16
